pl_srcoldmsncev_x,pl_inqcnt2y_x,pl_inqcnt1m_x,acctno,lexid,pl_srcoldmsncev_y,pl_inqcnt2y_y,pl_inqcnt1m_y,o_lexid,company_id,date_added,flag,pl_srcoldmsncev_diff,pl_inqcnt2y_diff,pl_inqcnt1m_diff
286.0,15.0,3.0,436185681R235358,1519935828.0,283.0,13.0,1.0,1519935828,107571,2023-10-17 16:04:10,0,3.0,2.0,2.0
429.0,19.0,2.0,436185691R251927,492499688.0,426.0,17.0,0.0,492499688,107571,2023-10-17 20:14:15,0,3.0,2.0,2.0
12.0,4.0,3.0,436185701R286709,240451654328.0,9.0,1.0,0.0,240451654328,107571,2023-10-18 14:49:19,0,3.0,3.0,3.0
179.0,16.0,2.0,436185721R8514,146866432327.0,176.0,14.0,0.0,146866432327,107571,2023-10-12 19:22:56,0,3.0,2.0,2.0
56.0,9.0,4.0,436185801R499507,238166134444.0,53.0,6.0,1.0,238166134444,107571,2023-10-23 04:43:20,0,3.0,3.0,3.0
399.0,5.0,3.0,436186211R13776,2345967149.0,396.0,2.0,0.0,2345967149,107571,2023-10-24 09:50:15,0,3.0,3.0,3.0
14.0,7.0,2.0,436186431R286927,236476753648.0,12.0,5.0,0.0,236476753648,107571,2023-10-30 06:33:19,0,2.0,2.0,2.0
354.0,10.0,2.0,436186441R131063,430183622.0,351.0,8.0,0.0,430183622,107571,2023-10-26 18:14:22,0,3.0,2.0,2.0
252.0,3.0,3.0,436185741R441119,11672062240.0,249.0,0.0,0.0,11672062240,107571,2023-10-21 02:32:37,0,3.0,3.0,3.0
135.0,8.0,5.0,436186431R93409,190209343420.0,132.0,4.0,1.0,190209343420,107571,2023-10-25 18:21:00,0,3.0,4.0,4.0
406.0,7.0,3.0,436186431R100795,184010476.0,403.0,4.0,0.0,184010476,107571,2023-10-26 02:12:32,0,3.0,3.0,3.0
120.0,5.0,2.0,436186111R160852,165933532984.0,118.0,3.0,0.0,165933532984,107571,2023-10-27 04:43:38,0,2.0,2.0,2.0
406.0,11.0,2.0,436186191R163433,291845602.0,404.0,9.0,0.0,291845602,107571,2023-10-27 09:26:12,0,2.0,2.0,2.0
282.0,20.0,4.0,436186211R165003,962252724.0,280.0,18.0,2.0,962252724,107571,2023-10-27 12:11:33,0,2.0,2.0,2.0
176.0,8.0,2.0,436186511R179569,46379596260.0,174.0,0.0,0.0,46379596260,107571,2023-10-27 17:12:13,0,2.0,8.0,2.0
365.0,13.0,2.0,436186191R217657,2723186068.0,363.0,11.0,0.0,2723186068,107571,2023-10-28 14:09:56,0,2.0,2.0,2.0
450.0,10.0,4.0,436186201R251039,26077476.0,448.0,6.0,0.0,26077476,107571,2023-10-29 03:08:24,0,2.0,4.0,4.0
462.0,11.0,2.0,436182511R877449,1000903614.0,459.0,9.0,0.0,1000903614,107571,2023-10-10 15:00:26,0,3.0,2.0,2.0
333.0,3.0,2.0,436182161R997891,425146845.0,330.0,1.0,0.0,425146845,107571,2023-10-12 18:01:11,0,3.0,2.0,2.0
112.0,2.0,2.0,436185701R129070,192422222469.0,109.0,1.0,0.0,192422222469,107571,2023-10-15 00:56:42,0,3.0,1.0,2.0
