pl_srcoldmsncev_x,pl_inqcnt2y_x,pl_inqcnt1m_x,acctno,lexid,pl_srcoldmsncev_y,pl_inqcnt2y_y,pl_inqcnt1m_y,o_lexid,company_id,date_added,flag,pl_srcoldmsncev_diff,pl_inqcnt2y_diff,pl_inqcnt1m_diff
2.0,2.0,1.0,436186141R281136,238558088319.0,0.0,1.0,0.0,238558088319,107571,2023-10-30 02:05:09,0,2.0,1.0,1.0
2.0,2.0,2.0,436186501R212851,245158060203.0,0.0,0.0,0.0,245158060203,107571,2023-10-28 08:14:17,0,2.0,2.0,2.0
2.0,0.0,0.0,436186501R345789,245164129227.0,0.0,0.0,0.0,245164129227,107571,2023-10-31 09:25:28,0,2.0,0.0,0.0
2.0,1.0,1.0,436186491R5588,245183487580.0,0.0,0.0,0.0,245183487580,107571,2023-10-24 03:03:06,0,2.0,1.0,1.0
2.0,3.0,0.0,436186521R242335,241659940531.0,0.0,3.0,0.0,241659940531,107571,2023-10-28 21:11:43,0,2.0,0.0,0.0
2.0,4.0,2.0,436185671R289370,239865693492.0,0.0,4.0,2.0,239865693492,107571,2023-10-18 15:36:03,0,2.0,0.0,0.0
2.0,1.0,1.0,436186131R208902,241781363071.0,0.0,0.0,0.0,241781363071,107571,2023-10-28 02:00:03,0,2.0,1.0,1.0
2.0,5.0,1.0,436186451R252910,192253368461.0,-99997.0,4.0,0.0,192253368461,107571,2023-10-29 03:12:50,0,-999999998.0,1.0,1.0
2.0,0.0,0.0,436186511R334182,245185509536.0,0.0,0.0,0.0,245185509536,108706,2023-10-31 00:03:49,0,2.0,0.0,0.0
2.0,0.0,0.0,436185801R456744,191534820306.0,-99997.0,0.0,0.0,191534820306,108706,2023-10-21 20:33:26,0,-999999998.0,0.0,0.0
2.0,0.0,0.0,436186431R145399,244491300337.0,0.0,0.0,0.0,244491300337,108706,2023-10-26 21:52:29,0,2.0,0.0,0.0
2.0,0.0,0.0,436185741R489842,239363540857.0,-99997.0,0.0,0.0,239363540857,108706,2023-10-22 15:43:28,0,-999999998.0,0.0,0.0
